Faction,Class,KB,D,HK,DD,HD,Rol
Alliance,Death Knight,0,2,0,14892,14134,dps
Horde,Mage,4,0,48,61508,4299,dps
Alliance,Demon Hunter,0,0,0,872,445,dps
Horde,Paladin,11,0,47,54087,15989,dps
Horde,Monk,0,0,47,10568,127000,heal
Alliance,Priest,0,5,0,4206,37555,heal
Alliance,Warrior,0,1,0,1818,0,dps
Alliance,Death Knight,0,2,0,5683,5309,dps
Alliance,Warrior,3,4,21,41100,23172,dps
Horde,Druid,0,5,12,1118,99044,heal
Horde,Hunter,4,4,16,33017,6854,dps
Horde,Hunter,4,1,26,22624,7012,dps
Alliance,Warlock,8,3,30,38779,17181,dps
Horde,Hunter,5,3,22,41010,7769,dps
Alliance,Rogue,3,2,19,24494,7590,dps
Horde,Shaman,1,5,10,5254,50267,heal
Alliance,Shaman,1,3,27,30826,9849,dps
Horde,Mage,3,4,21,22158,12842,dps
Horde,Mage,0,7,13,36633,6862,dps
Alliance,Mage,2,4,9,38542,4321,dps
Alliance,Paladin,13,1,34,86224,25128,dps
Horde,Hunter,1,5,10,54158,9919,dps
Horde,Druid,1,2,13,13693,20245,heal
Horde,Demon Hunter,7,5,22,111000,15850,dps
Alliance,Paladin,5,1,29,59524,26524,dps
Alliance,Shaman,1,2,29,7425,51759,heal
Alliance,Paladin,1,4,7,46376,15261,dps
Alliance,Death Knight,2,3,25,61206,22649,dps
Horde,Warlock,3,0,22,48823,14259,dps
Horde,Warrior,3,3,17,48932,15757,dps
Horde,Mage,4,1,29,24388,2596,dps
Alliance,Priest,1,4,9,17734,8223,dps
Horde,Mage,6,1,24,67905,7930,dps
Horde,Warrior,6,1,21,53403,16902,dps
Alliance,Priest,3,5,7,36252,16261,dps
Horde,Shaman,0,2,27,10925,68694,heal
Horde,Hunter,5,0,15,21996,0,dps
Alliance,Paladin,0,2,5,5778,5784,heal
Alliance,Druid,0,1,11,1256,84714,heal
Alliance,Paladin,0,5,6,51890,12249,dps
Horde,Druid,4,2,23,55751,13024,dps
Horde,Paladin,0,1,27,6631,55709,heal
Alliance,Warrior,2,4,7,27514,4503,dps
Alliance,Monk,2,4,9,40972,26314,dps
Alliance,Mage,2,2,11,43490,11718,dps
Horde,Shaman,4,2,25,61060,1578,dps
Alliance,Hunter,0,1,5,12015,4128,dps
Alliance,Hunter,5,5,20,73062,12905,dps
Horde,Death Knight,4,7,30,95493,29129,dps
Alliance,Druid,0,4,45,224,215000,heal
Horde,Druid,2,3,28,49531,13027,dps
Alliance,Warrior,4,3,26,63651,31561,dps
Horde,Shaman,1,7,28,8938,99399,heal
Horde,Mage,7,5,28,127000,23979,dps
Horde,Warrior,3,5,25,44336,6910,dps
Alliance,Rogue,11,3,35,45332,8293,dps
Alliance,Warrior,6,4,38,100000,12070,dps
Alliance,Mage,8,3,39,96730,7997,dps
Horde,Monk,0,5,28,3990,101000,heal
Alliance,Warlock,8,5,38,86617,52555,dps
Horde,Paladin,9,4,35,192000,46517,dps
Horde,Death Knight,5,5,25,70827,20915,dps
Horde,Warrior,2,7,21,52432,4377,dps
Alliance,Rogue,4,2,35,58944,4813,dps
Horde,Death Knight,4,4,16,39249,26497,dps
Alliance,Shaman,1,4,35,44200,142000,heal
Alliance,Warlock,3,7,25,82345,29406,dps
Horde,Hunter,4,0,8,28773,3928,dps
Horde,Druid,0,0,22,1818,179000,heal
Horde,Demon Hunter,4,0,21,66986,7942,dps
Alliance,Hunter,0,2,0,16669,4304,dps
Alliance,Hunter,0,4,7,50752,13190,dps
Horde,Shaman,0,2,19,10968,88406,heal
Alliance,Warrior,1,0,2,12938,2906,dps
Alliance,Warrior,1,3,3,8580,3849,dps
Alliance,Druid,0,1,3,61503,755,dps
Horde,Warlock,3,2,21,57596,20110,dps
